City,Price(P),Change(P),Price(D),Change(D)
East Garo Hills,96.62 ₹/L,  0.00,87.13 ₹/L,  0.00
East Jaintia Hills,97.76 ₹/L,  0.00,88.24 ₹/L,+ 0.07
East Khasi Hills,97.92 ₹/L,- 0.04,88.49 ₹/L,+ 0.31
North Garo Hills,96.67 ₹/L,  0.00,87.19 ₹/L,  0.00
Ri Bhoi,96.08 ₹/L,+ 0.10,86.98 ₹/L,+ 0.38
South Garo Hills,97.74 ₹/L,+ 0.41,88.25 ₹/L,  0.00
Southwest Khasi Hils,98.42 ₹/L,  0.00,88.23 ₹/L,- 0.70
West Garo Hills,97.34 ₹/L,  0.00,87.86 ₹/L,  0.00
West Khasi Hills,98.24 ₹/L,- 0.18,88.83 ₹/L,+ 0.29
